屋号・商号,屋号・商号フリガナ,業種（大分類）,業種（中分類）,主な取扱品目,地域,郵便番号,住所,電話番号,さるぼぼコイン
未通来,ﾐｽﾞｷ,飲食業,酒場,飲食,高山,506-0017,朝日町50,32-7705,利用不可
みずくち指圧室,ﾐｽﾞｸﾁｼｱﾂｼﾂ,理美容・エステ業（マッサージ業）,マッサージ,指圧、マッサージ,久々野,509-3214,久々野町無数河568-1,52-3737,利用不可
㈲水口石油,ﾐｽﾞｸﾞﾁｾｷﾕ,小売業,ガソリンスタンド・燃料,ガソリン、軽油、灯油、タイヤ,朝日,509-3311,朝日町一之宿890-1,56-1250,利用不可
水野ペットクリニック,ﾐｽﾞﾉﾍﾟｯﾄｸﾘﾆｯｸ,生活関連業,ペット関連,小動物診療,高山,506-0054,岡本町1-100-5,57-8070,利用可能
㈲みずま,ﾐｽﾞﾏ,小売業,食料品,だんご・五平餅・駄菓子,高山,506-0844,上一之町2,33-0645,利用可能
溝際商店,ﾐｿﾞｷﾞﾜｼｮｳﾃﾝ,小売業,ガソリンスタンド・燃料,プロパンガス・とうふ,丹生川,506-2123,丹生川町町方40-2,78-1052,利用不可
㈲溝畑商事,ﾐｿﾞﾊﾞﾀｼｮｳｼﾞ,建設業,資材,上下水道資材等,高山,506-0008,初田町3-14-21,34-1360,利用可能
道上製畳所,ﾐﾁｳｴｾｲｼﾞｮｳｼｮ,建設業,住宅建築,畳・畳修繕,高山,506-0851,大新町1-59,32-2887,利用不可
道の駅　奥飛騨温泉郷上宝　物産館,ﾐﾁﾉｴｷｵｸﾋﾀﾞｵﾝｾﾝｺﾞｳｶﾐﾀｶﾗﾌﾞｯｻﾝｶﾝ,小売業,その他小売り,土産品,奥飛騨温泉郷,506-1427,奥飛騨温泉郷田頃家11-1,0578-89-3746,利用可能
道の駅　桜の郷荘川,ﾐﾁﾉｴｷｻｸﾗﾉｻﾄｼｮｳｶﾜ,小売業,その他小売り,土産品・農産物・特産品,荘川,501-5414,荘川町猿丸88-1,05769-2-1030,利用不可
道の駅　ひだ朝日村,ﾐﾁﾉｴｷﾋﾀﾞｱｻﾋﾑﾗ,飲食業,レストラン,レストラン、売店,朝日,509-3325,朝日町万石150,55-3777,利用可能
道の駅　飛騨街道なぎさ,ﾐﾁﾉｴｷﾋﾀﾞｶｲﾄﾞｳﾅｷﾞｻ,小売業,その他小売り,地域特産品、レストラン,久々野,509-3213,久々野町渚2685,0577-52-4100,利用不可
みつ岩,ﾐﾂｲﾜ,飲食業,日本料理店,料理,高山,506-0009,花岡町1-14-6,33-8949,利用可能
ミッキー美容室,ﾐｯｷｰﾋﾞﾖｳｼﾂ,理美容・エステ業（マッサージ業）,美容室,カット・パーマ・カラー・着付,高山,506-0807,三福寺町513-6,35-0280,利用不可
㈲三木自動車,ﾐﾂｷｼﾞﾄﾞｳｼｬ,自動車販売・修理業,自動車,自動車類　販売・整備,一之宮,509-3505,一之宮町3562-1,53-2900,利用不可
㈲三木デンキ商会,ﾐﾂｷﾃﾞﾝｷｼｮｳｶｲ,小売業,家電,家電・電気工事・ボイラー工事,一之宮,509-3505,一之宮町3392-3,53-2059,利用可能
ミドリ電器,ﾐﾄﾞﾘﾃﾞﾝｷ,小売業,家電,家電,高山,506-0056,緑ケ丘町1-92,34-1960,利用不可
みどり美容室,ﾐﾄﾞﾘﾋﾞﾖｳｼﾂ,理美容・エステ業（マッサージ業）,美容室,カット・パーマ,高山,506-0851,大新町4-129,32-5358,利用不可
MINAVIETA,ﾐﾅｳﾞｨｰﾀ,飲食業,レストラン,パスタ・ピッツア,高山,506-0008,初田町3-26-6,57-7788,利用可能
ミナギル,ﾐﾅｷﾞﾙ,生活関連業,ジム,ジム、iPhone修理,高山,506-0031,西之一色町2丁目126-1,0577-36-1555,利用可能
mignon nail,ﾐﾆｮﾝﾈｲﾙ,理美容・エステ業（マッサージ業）,美容サロン,ネイル施術,高山,506-0808,松本町445－6,090-5602-2597,利用不可
mino*,ﾐﾉ,理美容・エステ業（マッサージ業）,エステ,シェービングエステ,高山,506-0022,西町69,090-8471-4102,利用可能
㈱美濃商会,ﾐﾉｼｮｳｶｲ,小売業,その他小売り,事務用品,高山,506-0821,神明町4-8-5,0577-32-3322,利用不可
㈱みの谷　セルフ高山松之木ＳＳ,ﾐﾉﾀﾆｾﾙﾌﾀｶﾔﾏﾏﾂﾉｷｴｽｴｽ,小売業,ガソリンスタンド・燃料,燃料油･ｶｰｹｱ用品･車検,高山,506-0802,松之木町200,32-0252,利用不可
㈱みの谷　高山花里ＳＳ,ﾐﾉﾀﾆﾀｶﾔﾏﾊﾅｻﾄｴｽｴｽ,小売業,ガソリンスタンド・燃料,燃料油･ｶｰｹｱ用品･車検,高山,506-0026,花里町4-78,33-9912,利用可能
㈱美野電子印刷,ﾐﾉﾃﾞﾝｼｲﾝｻﾂ,その他の業種,その他,印刷業,高山,506-0054,岡本町1-77,36-1601,利用不可
みのる建築,ﾐﾉﾙｹﾝﾁｸ,建設業,住宅建築,新築・リフォーム・建築工事,国府,509-4105,国府町蓑輪120-5,72-2803,利用可能
Mimosa Beauty salon,ﾐﾓｻﾞﾋﾞｭｰﾃｨｰｻﾛﾝ,理美容・エステ業（マッサージ業）,マッサージ,脱毛、化粧品販売,高山,506-0052,下岡本町1119-2MA・MAISON 2-A,090-6800-1013,利用可能
宮川朝市　宮崎　幸則,ﾐﾔｶﾞﾜｱｻｲﾁﾐﾔｻﾞｷﾕｷﾉﾘ,小売業,食料品,野菜・米,高山,506-0059,下林町151,33-3268,利用不可
宮川園,ﾐﾔｶﾞﾜｴﾝ,小売業,食料品,日本茶,高山,506-0841,下三之町2,33-6528,利用不可
宮川シート,ﾐﾔｶﾞﾜｼｰﾄ,その他の業種,その他,シート類全般,高山,506-0004,桐生町3-100,32-1314,利用不可
宮川タクシー㈱,ﾐﾔｶﾞﾜﾀｸｼｰ,バス・タクシー運行業,タクシー・代行,タクシー,国府,509-4119,国府町広瀬町916-4,36-3860,利用可能
宮川中華そば,ﾐﾔｶﾞﾜﾁｭｳｶｿﾊﾞ,飲食業,麺類店,中華そば,高山,506-0052,下岡本町1360-19,33-8970,利用可能
土産品店 大賀,ﾐﾔｹﾞﾋﾝﾃﾝﾀﾞｲｶﾞ,小売業,その他小売り,布製品・焼物・菓子類,高山,506-0011,本町2-28,32-0452,利用可能
宮腰タイヤ商会　松本店,ﾐﾔｺｼﾀｲﾔ,自動車販売・修理業,タイヤ,タイヤ販売・修理,高山,506-0808,松本町192-2,32-0919,利用可能
㈲みやこし電器,ﾐﾔｺｼﾃﾞﾝｷ,小売業,家電,家庭用電化製品販売/PC販売,一之宮,509-3505,一之宮町3413-1,53-2005,利用可能
呉服の粋　都屋,ﾐﾔｺﾔ,小売業,衣料品・履物,きもの･和の小物,高山,506-0844,上一之町36,32-0132,利用可能
みやび庵,ﾐﾔﾋﾞｱﾝ,飲食業,麺類店,手打ち蕎麦と日本料理,高山,506-0845,上二之町65-4,62-9896,利用可能
㈱宮本,ﾐﾔﾓﾄ,小売業,ガソリンスタンド・燃料,灯油・LPG,高山,506-0002,問屋町56,32-2020,利用可能
ミユ美容室,ﾐﾕﾋﾞﾖｳｼﾂ,理美容・エステ業（マッサージ業）,美容室,美容室、ヘアー商品,高山,506-0041,下切町187-6,35-0995,利用不可
味来館,ﾐﾗｲｶﾝ,飲食業,中華料理店,ラーメン・唐揚げ（中国料理）,上宝,506-1317,上宝町本郷3743-1,0578-86-2340,利用不可
㈱未来堂高山　外販業務配達センター,ﾐﾗｲﾄﾞｳﾀｶﾔﾏｶﾞｲﾊﾝｷﾞｮｳﾑﾊｲｿｳｾﾝﾀｰ,小売業,酒屋,酒・食品,高山,506-0818,江名子町2715-3,62-9191,利用可能
身らく,ﾐﾗｸ,理美容・エステ業（マッサージ業）,整体,整体,高山,506-0009,花岡町1-17　ARCﾋﾞﾙ303,090-3312-0219,利用可能
民芸　まるも,ﾐﾝｹﾞｲﾏﾙﾓ,小売業,その他小売り,民芸品,高山,506-0031,西之一色町3-803-1,34-5680,利用不可
民芸ミュージアム匠の館　森の水族館,ﾐﾝｹﾞｲﾐｭｰｼﾞｱﾑﾀｸﾐﾉﾔｶﾀﾓﾘﾉｽｲｿﾞｸｶﾝ,ホテル・旅館業等,レジャー関連施設,観光施設,丹生川,506-2117,丹生川町根方532,79-2505,利用不可
民宿　甚左衛門,ﾐﾝｼｭｸｼﾞﾝｻﾞｴﾓﾝ,ホテル・旅館業等,旅館,飲食・旅館,一之宮,509-3505,一之宮町1615,53-2681,利用不可
民宿　惣助,ﾐﾝｼｭｸｿｳｽｹ,ホテル・旅館業等,旅館,コーヒー、軽食,高山,506-0054,岡本町1-64,090-7034-9608,利用可能
moon tap beer,ﾑｰﾝﾀｯﾌﾟﾋﾞｱ,飲食業,酒場,ビール,高山,506-0007,総和町1-50-15,090-4468-9862,利用可能
向田公認会計士事務所,ﾑｶｲﾀﾞｺｳﾆﾝｶｲｹｲｼｼﾞﾑｼｮ,その他の業種,その他,会計事務所,高山,506-0031,西之一色町1-19,32-2671,利用不可
向田板金工業㈱,ﾑｶｲﾀﾞﾊﾞﾝｷﾝｺｳｷﾞｮｳ,建設業,住宅建築,建築板金業,高山,506-0807,三福寺町928,33-5052,利用可能
向畑自動車,ﾑｶｲﾊﾀｼﾞﾄﾞｳｼｬ,自動車販売・修理業,自動車,自動車修理、タイヤ等消耗品,朝日,509-3306,朝日町見座1062,55-3939,利用不可
mushiや,ﾑｼﾔ,小売業,衣料品・履物,Tシャツプリント,高山,506-0818,江名子町3917-5,62-8881,利用不可
ムラタ,ﾑﾗﾀ,小売業,衣料品・履物,婦人服・下着類・靴下・帽子,高山,506-0842,下二之町1（安川通り）,32-1441,利用可能
むらの酒や　はしもと,ﾑﾗﾉｻｶﾔﾊｼﾓﾄ,小売業,酒屋,酒,丹生川,506-2116,丹生川町大谷456-12,78-1087,利用可能
明光鍼灸治療院,ﾒｲｺｳｼﾝｷｭｳﾁﾘｮｳｲﾝ,理美容・エステ業（マッサージ業）,鍼・灸,針・灸・サプリメント,高山,506-0052,下岡本町1426,57-8871,利用可能
明宝ジェラートハナサキ,ﾒｲﾎｳｼﾞｪﾗｰﾄﾊﾅｻｷ,飲食業,その他飲食店,ジェラート,高山,506-0005,七日町2-213,070-4343-0569,利用不可
㈲メカドック,ﾒｶﾄﾞｯｸ,自動車販売・修理業,自動車,自動車整備・車検,国府,509-4122,国府町名張1160,72-4040,利用可能
メガネ･宝石･トケイ　芝田,ﾒｶﾞﾈ･ﾎｳｾｷ･ﾄｹｲｼﾊﾞﾀ,小売業,宝飾品・眼鏡,眼鏡・宝石・時計の販売・修理,久々野,509-3205,久々野町久々野1736-1,52-2223,利用可能
meguri　リラクゼーションサロン,ﾒｸﾞﾘﾘﾗｸｾﾞｰｼｮﾝｻﾛﾝ,理美容・エステ業（マッサージ業）,エステ,ドライヘッドスパ　よもぎ蒸し,国府,509-4113,国府町木曽垣内118-6,090-5619-7434,利用可能
メディクスタクシー,ﾒﾃﾞｨｸｽﾀｸｼｰ,バス・タクシー運行業,タクシー・代行,タクシー,高山,506-0054,岡本町4丁目368-2,36-3860,利用可能
メナード化粧品高山千島代行店,ﾒﾅｰﾄﾞｹｼｮｳﾋﾝﾀｶﾔﾏﾁｼﾏﾀﾞｲｺｳﾃﾝ,小売業,その他小売り,化粧品,高山,506-0032,千島町650,080-5344-2412,利用不可
メナードフェイシャルサロン国府名張,ﾒﾅｰﾄﾞﾌｪｲｼｬﾙｻﾛﾝｺｸﾌﾅﾊﾞﾘ,理美容・エステ業（マッサージ業）,エステ,化粧品･エステ,国府,509-4122,国府町名張1065,090-2683-7832,利用可能
メナードフェイシャルサロン　高山上岡本,ﾒﾅｰﾄﾞﾌｪｲｼｬﾙｻﾛﾝﾀｶﾔﾏｶﾐｵｶﾓﾄ,小売業,その他小売り,化粧品･健康食品･衣服,高山,506-0055,上岡本町8-24-5,35-0258,利用不可
メナードフェイシャルサロン　高山国府代行店,ﾒﾅｰﾄﾞﾌｪｲｼｬﾙｻﾛﾝﾀｶﾔﾏｺｸﾌﾀﾞｲｺｳﾃﾝ,理美容・エステ業（マッサージ業）,エステ,エステ　化粧品,国府,509-4125,国府町糠塚1245-3,090-2266-9744,利用可能
メナードフェイシャルサロン高山三福寺,ﾒﾅｰﾄﾞﾌｪｲｼｬﾙｻﾛﾝﾀｶﾔﾏｻﾝﾌｸｼﾞ,理美容・エステ業（マッサージ業）,エステ,エステティック,高山,506-0807,三福寺町614,57-5787,利用不可
メナードフェイシャルサロン高山市天神橋,ﾒﾅｰﾄﾞﾌｪｲｼｬﾙｻﾛﾝﾀｶﾔﾏｼﾃﾝｼﾞﾝﾊﾞｼ,理美容・エステ業（マッサージ業）,エステ,化粧品・エステ,高山,506-0052,下岡本町1119-2MA・MAISON 1-A,090-6800-1013,利用可能
MEMOIRE,ﾒﾓｲﾚ,飲食業,レストラン,飲食店,高山,506-0011,本町2-2,70-1004,利用可能
酒場じげん,ﾒﾝｻｶﾊﾞｼﾞｹﾞﾝ,飲食業,麺類店,麺類・飲食,高山,506-0011,本町3-68,57-5353,利用不可
めん処　さぬき,ﾒﾝﾄﾞｺﾛｻﾇｷ,飲食業,麺類店,麺類業,高山,506-0052,下岡本町1769-1,35-0550,利用不可
?屋一丁,ﾒﾝﾔｲｯﾁｮｳ,飲食業,麺類店,中華そば,高山,506-0054,岡本町2-70-13,35-2051,利用不可
麺屋　伊吹,ﾒﾝﾔｲﾌﾞｷ,飲食業,麺類店,ラーメン,高山,506-0025,天満町1-5-8,62-8762,利用可能
麺屋　とと,ﾒﾝﾔﾄﾄ,飲食業,麺類店,ラーメン,高山,506-0007,総和町1-50,36-3751,利用可能
麺屋 力,ﾒﾝﾔﾘｷ,飲食業,麺類店,ラーメン･つけ麺,高山,506-0053,昭和町3-172-5,36-5211,利用不可
麺類・丼物　きくのや,ﾒﾝﾙｲ･ﾄﾞﾝﾌﾞﾘﾓﾉｷｸﾉﾔ,飲食業,麺類店,うどん・そば・中華そば・丼物,高山,506-0026,花里町6-19,32-1218,利用可能
モーツァルト,ﾓｰﾂｱﾙﾄ,小売業,パン・菓子,洋菓子,高山,506-0053,昭和町1-122-1,35-0577,利用不可
MOCA．．,ﾓｶ,理美容・エステ業（マッサージ業）,美容室,美容院,国府,509-4126,国府町瓜巣,070-9006-7897,利用不可
もだに農園,ﾓﾀﾞﾆﾉｳｴﾝ,小売業,食料品,もも、りんご、リンゴジュース他,久々野,509-3205,久々野町久々野260,52-3125,利用不可
もつや,ﾓﾂﾔ,飲食業,焼肉店,焼肉・ホルモン,高山,506-0026,花里町6-9-5,32-7661,利用不可
元屋,ﾓﾄﾔ,飲食業,日本料理店,ランチ　宴会　弁当,久々野,509-3214,久々野町無数河245-2,52-2045,利用不可
元湯　孫九郎,ﾓﾄﾕﾏｺﾞｸﾛｳ,ホテル・旅館業等,旅館,宿泊・売店・飲食,奥飛騨温泉郷,506-1434,奥飛騨温泉郷福地1005番地,0578-89-2231,利用不可
モナミ美容室ヴァンベール,ﾓﾅﾐﾋﾞﾖｳｼﾂｳﾞｧﾝﾍﾞｰﾙ,理美容・エステ業（マッサージ業）,美容室,ケラスターゼ,高山,506-0023,川原町85,34-8844,利用不可
もみほぐし　こりと～る,ﾓﾐﾎｸﾞｼｺﾘﾄｰﾙ,理美容・エステ業（マッサージ業）,マッサージ,もみほぐし,高山,506-0055,上岡本町3-344,0577-62-9357,利用可能
もみほぐし　こりと～る　石浦店,ﾓﾐﾎｸﾞｼｺﾘﾄｰﾙｲｼｳﾗﾃﾝ,理美容・エステ業（マッサージ業）,マッサージ,もみほぐし,高山,506-0825,石浦町2-188,0577-77-9296,利用可能
もみほぐしこりと～る桐生店,ﾓﾐﾎｸﾞｼｺﾘﾄｰﾙｷﾘｭｳﾃﾝ,理美容・エステ業（マッサージ業）,マッサージ,もみほぐし,高山,506-0004,桐生町6-148,0577-70-8491,利用可能
もめんや丸京,ﾓﾒﾝﾔﾏﾙｷｮｳ,小売業,衣料品・履物,婦人服・布生地,高山,506-0011,本町3-33,32-5427,利用不可
㈲森下ガクブチ店,ﾓﾘｼﾀｶﾞｸﾌﾞﾁﾃﾝ,小売業,その他小売り,額縁全般・絵画・画材・掛軸,高山,506-0011,本町3-50,32-1590,利用可能
森下自動車鈑金,ﾓﾘｼﾀｼﾞﾄﾞｳｼｬﾊﾞﾝｷﾝ,自動車販売・修理業,自動車,自動車修理,高山,506-0004,桐生町5-351,32-1270,利用不可
㈲森下商会,ﾓﾘｼﾀｼｮｳｶｲ,小売業,ガソリンスタンド・燃料,プロパンガス販売・管設備工事,荘川,501-5411,荘川町牧戸104-1,05769-2-2106,利用不可
森下建具店,ﾓﾘｼﾀﾀﾃｸﾞﾃﾝ,建設業,住宅建築,建具全般、障子・襖の貼替え,朝日,509-3327,朝日町小谷223,55-3621,利用不可
㈲森商店,ﾓﾘｼｮｳﾃﾝ,小売業,酒屋,酒類・飲料・食品・日用雑貨,荘川,501-5411,荘川町牧戸11-1,05769-2-2008,利用不可
森林緑々園,ﾓﾘﾊﾞﾔｼﾘｮｸﾘｮｸｴﾝ,小売業,パン・菓子,菓子,高山,506-0846,上三之町39,32-0312,利用不可
㈲森本配管工事店,ﾓﾘﾓﾄﾊｲｶﾝｺｳｼﾞﾃﾝ,建設業,設備,水道工事,国府,509-4117,国府町三川752,72-3067,利用不可
門前自動車,ﾓﾝｾﾞﾝｼﾞﾄﾞｳｼｬ,自動車販売・修理業,自動車,自動車販売・修理,高山,506-0802,松之木町1470-1,34-7680,利用可能
モンビル洋菓子店,ﾓﾝﾋﾞﾙﾖｳｶﾞｼﾃﾝ,小売業,パン・菓子,洋菓子･パン,高山,506-0843,下一之町76,33-8611,利用可能
yakata coffee 緑の館　高山店,ﾔｶﾀｺｰﾋｰﾐﾄﾞﾘﾉﾔｶﾀﾀｶﾔﾏﾃﾝ,小売業,食料品,コーヒー、焼き菓子,高山,506-0058,山田町305-1,57-8112,利用可能
焼き菓子TOKUEMON。,ﾔｷｶﾞｼﾄｸｴﾓﾝ,小売業,パン・菓子,焼き菓子,高山,506-0817,山口町1338-2,090-7687-2542,利用可能
やきとりの扇屋　高山けやき通り店,ﾔｷﾄﾘﾉｵｵｷﾞﾔﾀｶﾔﾏｹﾔｷﾄﾞｵﾘﾃﾝ,飲食業,酒場,飲食店,高山,506-0053,昭和町3ｰ159-18,36-7977,利用可能
ｙａｋｉｎｉｋｕ　楓,ﾔｷﾆｸｶｴﾃﾞ,飲食業,焼肉店,焼肉・食事,高山,506-0011,本町2-63,62-9270,利用可能
焼き肉　精香園,ﾔｷﾆｸｾｲｺｳｴﾝ,飲食業,焼肉店,焼肉全般,国府,509-4116,国府町上広瀬210,72-3395,利用可能
焼肉　高,ﾔｷﾆｸﾀｶ,飲食業,焼肉店,焼肉,高山,506-0007,総和町1-12-1ツインビル西1階,090-8671-1616,利用可能
焼肉ハウス　味蔵天国,ﾔｷﾆｸﾊｳｽｱｼﾞｸﾗﾃﾝｺﾞｸ,飲食業,焼肉店,飛騨牛焼肉(食事処・販売),高山,506-0026,花里町4-308,37-1129,利用可能
焼肉　ろくべえ,ﾔｷﾆｸﾛｸﾍﾞｴ,飲食業,焼肉店,焼肉(飛騨牛・豚肉・鳥肉),高山,506-0054,岡本町1－114-15,35-4129,利用可能
ヤスコ美容室,ﾔｽｺﾋﾞﾖｳｼﾂ,理美容・エステ業（マッサージ業）,美容室,美容室,高山,506-0021,名田町3-46,32-1945,利用不可
ヤスダペンション,ﾔｽﾀﾞﾍﾟﾝｼｮﾝ,ホテル・旅館業等,旅館,旅館業・お食事会・スペイン料理,高山,506-0035,新宮町3353-1,34-5550,利用可能
ヤスダペンション,ﾔｽﾀﾞﾍﾟﾝｼｮﾝ,ホテル・旅館業等,旅館,旅館業・お食事会・スペイン料理,高山,506-0035,新宮町3353-1,34-5550,利用可能
御料理・仕出し 八千久,ﾔﾁｷｭｳ,飲食業,日本料理店,会席料理･卓上料理･弁当など,高山,506-0017,朝日町37,32-0349,利用不可
㈱柳瀬電気,ﾔﾅｾﾃﾞﾝｷ,建設業,設備,電気工事,高山,506-0802,松之木町2860-7,33-1318,利用不可
屋根の森　(㈲森瓦店),ﾔﾈﾉﾓﾘ,建設業,住宅建築,屋根工事,高山,506-0032,千島町376,33-0018,利用可能
ヤマケン電気設備,ﾔﾏｹﾝﾃﾞﾝｷｾﾂﾋﾞ,建設業,設備,電気設備工事,高山,506-0825,石浦町6丁目36-10,34-1834,利用不可
山腰酒店,ﾔﾏｺｼｻｹﾃﾝ,小売業,酒屋,酒小売,高山,506-0055,上岡本町3-448,33-2631,利用不可
山腰農産加工,ﾔﾏｺｼﾉｳｻﾝｶｺｳ,小売業,食料品,もち・みそ・つけもの,高山,506-0032,千島町342,32-8054,利用不可
山里のいおり草円,ﾔﾏｻﾞﾄﾉｲｵﾘｿｳｴﾝ,ホテル・旅館業等,旅館,基本プラン(一泊二食付),奥飛騨温泉郷,506-1434,奥飛騨温泉郷福地831,0578-89-1116,利用不可
やま下,ﾔﾏｼﾀ,小売業,その他小売り,化粧品･バック･洋服など,高山,506-0844,上一之町52,32-0363,利用可能
山下サイクル,ﾔﾏｼﾀｻｲｸﾙ,自動車販売・修理業,自転車・バイク,自転車･電動自転車,高山,506-0025,天満町3-93,34-1114,利用不可
山下提灯,ﾔﾏｼﾀﾁｮｳﾁﾝ,小売業,その他小売り,祭提灯販売･修理,高山,506-0055,上岡本町1-70,33-5235,利用不可
㈲山下電気工事,ﾔﾏｼﾀﾃﾞﾝｷｺｳｼﾞ,建設業,設備,電気工事、電気設備工事,一之宮,509-3505,一之宮町2958,53-2700,利用不可
山助商店,ﾔﾏｽｹｼｮｳﾃﾝ,小売業,酒屋,酒類、飲料、菓子、雑貨,朝日,509-3306,朝日町見座592,55-3366,利用不可
㈱山善商店LPG事業グループ,ﾔﾏｾﾞﾝｼｮｳﾃﾝｴﾙﾋﾟｰｼﾞｰｸﾞﾙｰﾌﾟ,建設業,設備,ガス機器,高山,506-0053,昭和町1-176-4,33-1144,利用不可
㈱山善商店久々野給油所,ﾔﾏｾﾞﾝｼｮｳﾃﾝｸｸﾞﾉｷｭｳﾕｼｮ,小売業,ガソリンスタンド・燃料,ガソリン・車検・整備,久々野,509-3205,久々野町久々野1519-2,52-2109,利用不可
㈱山善商店国分寺通り給油所,ﾔﾏｾﾞﾝｼｮｳﾃﾝｺｸﾌﾞﾝｼﾞﾄﾞｵﾘｷｭｳﾕｼｮ,小売業,ガソリンスタンド・燃料,ガソリン・車検整備・自動車販売,高山,506-0026,花里町6-15,32-5015,利用可能
㈱山善商店スマートセルフ41,ﾔﾏｾﾞﾝｼｮｳﾃﾝｽﾏｰﾄｾﾙﾌ41,小売業,ガソリンスタンド・燃料,ガソリン・車検・整備,高山,506-0031,西之一色町3-1124-1,32-1458,利用可能
㈱山善商店設備事業グループ,ﾔﾏｾﾞﾝｼｮｳﾃﾝｾﾂﾋﾞｼﾞｷﾞｮｳｸﾞﾙｰﾌﾟ,建設業,設備,住宅設備,高山,506-0053,昭和町1-176-4,33-0371,利用不可
㈱山善商店　灯油配達,ﾔﾏｾﾞﾝｼｮｳﾃﾝﾄｳﾕﾊｲﾀﾂ,小売業,ガソリンスタンド・燃料,灯油配達,高山,506-0053,昭和町1-176-4,37-0462,利用可能
㈱山善商店ビッグキャップ高山,ﾔﾏｾﾞﾝｼｮｳﾃﾝﾋﾞｯｸﾞｷｬｯﾌﾟ,小売業,ガソリンスタンド・燃料,ガソリン・車検整備・自動車販売,高山,506-0052,下岡本町2948-4,36-1120,利用可能
㈲山武商店,ﾔﾏﾀｹｼｮｳﾃﾝ,小売業,食料品,飛騨牛肉,高山,506-0007,総和町1-70,32-0571,利用可能
山田春慶店,ﾔﾏﾀﾞｼｭﾝｹｲﾃﾝ,小売業,その他小売り,飛騨春慶製造販売,高山,506-0851,大新町1-111,32-0396,利用不可
山長商店,ﾔﾏﾁｮｳｼｮｳﾃﾝ,小売業,食料品,食料品全般,高山,506-0856,大門町55,32-0512,利用不可
㈲大和コンサルタント,ﾔﾏﾄｺﾝｻﾙﾀﾝﾄ,その他の業種,その他,測量,高山,506-0058,山田町288-1,36-0474,利用不可
山のカフェ　まめ正,ﾔﾏﾉｶﾌｪﾏﾒﾏｻ,飲食業,喫茶店,ランチ、コーヒー、玄米,丹生川,506-2251,丹生川町旗鉾296-1,090-5516-6221,利用不可
山の幸うり坊屋,ﾔﾏﾉｻﾁｳﾘﾎﾞｳﾔ,飲食業,専門料理店,ジビエ肉,高山,506-0011,本町3丁目58-13,090-8261-8702,利用可能
山の耳,ﾔﾏﾉﾐﾐ,小売業,衣料品・履物,衣類,高山,506-0851,大新町2-81,0577-57-0135,利用可能
山村こんぶ店,ﾔﾏﾑﾗｺﾝﾌﾞ,小売業,食料品,乾物,高山,506-0012,八軒町3-48,34-1370,利用不可
山本果樹園,ﾔﾏﾓﾄｶｼﾞｭｴﾝ,小売業,食料品,りんご・桃・ジュース生産直売,高山,506-0031,西之一色町3-1264-2,33-0154,利用可能
㈲山本商会,ﾔﾏﾓﾄｼｮｳｶｲ,小売業,雑貨,日用雑貨、文房具、駄菓子、雑誌,久々野,509-3214,久々野町無数河621-36,52-3131,利用可能
㈲山本商会　石浦店,ﾔﾏﾓﾄｼｮｳｶｲｲｼｳﾗﾃﾝ,小売業,パン・菓子,駄菓子・玩具,高山,506-0825,石浦町2丁目379番地,0577-70-1080,利用可能
山本板金工業所,ﾔﾏﾓﾄﾊﾞﾝｷﾝｺｳｷﾞｮｳｼｮ,建設業,住宅建築,屋根・雨樋・壁工事,高山,506-0005,七日町2-54-2,32-4071,利用不可
やよいそば　角店,ﾔﾖｲｿﾊﾞｶﾄﾞﾐｾ,飲食業,麺類店,中華そば,高山,506-0005,七日町1-43,32-2088,利用可能
やよいそば　本店,ﾔﾖｲｿﾊﾞﾎﾝﾃﾝ,飲食業,麺類店,中華そば,高山,506-0005,七日町1-1,0577-32-2088,利用不可
槍見の湯　槍見館,ﾔﾘﾐﾉﾕﾔﾘﾐｶﾝ,ホテル・旅館業等,旅館,宿泊、サービス代,奥飛騨温泉郷,506-1421,奥飛騨温泉郷神坂587,0578-89-2808,利用不可
やわい屋,ﾔﾜｲﾔ,小売業,雑貨,器・ペンダントライト,国府,509-4121,国府町宇津江1372-2,77-9574,利用可能
ＹＯＵＲ　ＪＵＮＣＴＩＯＮ,ﾕｱｼﾞｬﾝｸｼｮﾝ,理美容・エステ業（マッサージ業）,美容室,ヘアーMENU全般、着物販売,高山,506-0025,天満町6-7,0577-32-1438,利用可能
由比,ﾕｲ,飲食業,酒場,居酒屋,高山,506-0007,総和町2-4,090-5825-3889,利用不可
㈱結ａｎｄ,ﾕｲｱﾝﾄﾞ,小売業,食料品,農産物、トマトジュース,丹生川,506-2121,丹生川町坊方469,77-9488,利用不可
美容室　ユー＆ケイ,ﾕｳｱﾝﾄﾞｹｲ,理美容・エステ業（マッサージ業）,美容室,美容一般,高山,506-0825,石浦町5-134,33-8911,利用不可
㈲高山カラー・studio IN,ﾕｳｹﾞﾝｶｲｼｬﾀｶﾔﾏｶﾗｰ･ｽﾀｼﾞｵｲﾝ,生活関連業,写真撮影・スタジオ,撮影　デジタルプリント,高山,506-0055,上岡本町7丁目206番地,0577-33-0675,利用不可
㈲雄山建設,ﾕｳｻﾞﾝｹﾝｾﾂ,建設業,住宅建築,建設工事一式,高山,506-0035,新宮町1165-2,32-5720,利用不可
ゆうとぴあ稲荷湯,ﾕｳﾄﾋﾟｱｲﾅﾘﾕ,ホテル・旅館業等,入浴施設,銭湯,高山,506-0012,八軒町2-4,32-5875,利用不可
